Guil-更多水果_烹饪,Cooking,烹饪
T-FmHmKGAmiV3Q9Kh3R40Go24Luas=,I can pick its fruit here.,我可以在这里采摘其果实。
T-FOzuVdc9wIysJJxSk0Qmrcyp07w=,The fruit is growing again!,果子又长出来了！
T-fslA/ySW7/koBCmtJDYNBDD88Mc=,"Dragon fruit squeezed into juice, ready to drink.",火龙果榨成的果汁，可以喝。
T-fVQKGYz0NHVPMGTG+ZFEtbtkuOk=,Lychee tree,荔枝树
T-gnL45LAI+p1YhOzcE1hWCwVuDSU=,Lemon tree field,柠檬树田
T-Gnrknk3VHyXdGn+r1zT1yKxwL9Q=,The tree grows!,树长成了！
T-HQzgsxYVAUo26ypUaDfJ0GnhvS0=,"A sip of lemon tea, cooler than a sucking mouthful!",一口柠檬茶，爽过吸口口！
T-HTmNe0rxWu/rFDyYBvZLWmnBvGo=,Tomato vine,番茄藤
T-i1SjLeyct78JvQ5tYy7cX+owNmY=,Lychee tree field,荔枝树田
T-i6n1CLzqA/pgkj75cwpb/0J3+Ug=,Watermelon field,西瓜田
T-iQuSolPsCvmjnjwXMppcXITvwnE=,Onion bush,洋葱丛
T-iS7aGjztQNNs2PKv/pP2YTbv3Lc=,Pineapple raw length,菠萝生长度
T-J/KQojxE4xKgsByVU2jibkokd9I=,Squeezing fruit into juice,将水果榨成果汁
T-j/uyTze9Vuicnpyh+K6Srhym+/g=,Planting watermelon,种植西瓜
T-JcGv5WGfiuq6/QTdtWKk7bbCvTo=,Onion,洋葱
T-jCZmORG8W7xBkNR8jPGtF2E410c=,Iced lemon tea,冰柠檬茶
T-jmfiM+Wdcd3AIkp7XPk72SIxwa0=,Eating some hot food,吃了一些烫食
T-K3por89i55XbYHjLO0GTdxDALak=,A small lychee tree,小荔枝树
T-kf4a/vT3/t/YfPIP4cVgWsJRZr4=,"A small tree, it will grow up.",一颗小树，它会长大的。
T-kHaDfYpr9Sr41p2OmSezItfSa3I=,"Watermelon squeezed into juice, you can drink it.",西瓜榨成的果汁，可以喝。
T-KoN2ShWrJkqzncZ3nnr/GoDbUIk=,Iced watermelon,冰西瓜
T-LVJvnzgS1A68+MHmKGRfgiSVaCI=,A dragon fruit!,一个火龙果！
T-me6juv0o6ip7xtn0teJUXpfBxxI=,Lemon juice,柠檬汁
T-mWUk9khCEH5ZUjm6wTLEsL5YQSY=,Picking,采摘
T-N5eY+lWg1v4Gc7cB4TyoLch18B8=,Plant bush,植株丛
T-nq7tW+aMALt1WnWpw/jTfoVQJkA=,A tomato!,一个番茄！
T-OgzNxFO0lEqJmxUv2gvdAJoPOlw=,A lemon,柠檬
T-OLAH0we3u31iwy5jO9NXbOgKfYw=,Plucked dragon fruit trees,摘光的火龙果树
T-OuXIvIV0SO816YwGvilSVCch2/8=,Kiwi tree field,奇异果树田
T-oXjQESoOrIf5y/I+XQiPc24947Q=,Hot food,烫食
T-P/x/SKLT7tC5+j862H4w4IIQ7as=,Tomato juice,番茄汁
T-pue34btEycTnVDBuVwg5No/tsGE=,Tomato field,番茄田
T-RhCB3zMKXjQbdGTSYF+N+Dg08i8=,Juice squeezed from lemon and ready to drink.,柠檬榨成的果汁，可以喝。
T-S2QHx7Z9iHoaEIvjOrMzM+FbpVQ=,Frozen watermelon,冰冻西瓜
T-SISBWQqMVqJYgSZqC72fwCgXMmQ=,"Juice squeezed from lychee, drinkable.",荔枝榨成的果汁，可以喝。
T-sMR4fODoOhgJgVPp5JpGzt0izc4=,Planting lychee,种植荔枝
T-tAmQBZbhFP3Rj5GEExWrS8u0IXc=,Eat a lot of hot food,吃了许多烫食
T-TGJayxaZEiBAqK3dAqOo/X6qPVY=,Planting kiwi fruit,种植奇异果
T-TiM/+CBb1qtFY0fV2vf49HY/4qc=,Picking light lemon trees,摘光的柠檬树
T-TJctv6gTJUfluSiJrqYB0EpZI/w=,Small kiwi tree,小奇异果树
T-TMYaMgL8alznAhDJxQkhf0pjfnM=,Ate a lot of ice food,吃了许多冰食
T-TOmOZl9QA0LbuX8oOcH/8Y7nx48=,Tomato vine full of tomatoes.,长满了番茄的番茄藤。
T-tuTDmY+pKijCx6l9SXE6lcPC2EY=,Watermelon juice,西瓜汁
T-tXLlN8IyHQG9U1s/Qjro3W8dYAI=,Pineapple juice,菠萝汁
T-U3WeH1jKO3f49L/E6xaLh9xKS3k=,Juice made from kiwi fruit to drink.,奇异果榨成的果汁，可以喝。
T-UkP00Te/nt5kvixx4WqwF66OKzA=,Lychee juice,荔枝汁
T-uQXmneEwbOsz+IP9BVKrCcj9EHE=,Watermelon ice is good!,西瓜冰好啦！
T-v3BbEnc9Bi1vbdwvHE9HoZKLtbM=,Pineapple,菠萝
T-v6oQRhBSrNbB/JjkuKTHCoB5GpE=,Lychee,荔枝
T-VfyiQ9VrT/To7udV24Pme5BZ5vE=,Need tomato,需要番茄
T-VTapFhdEWb90C08YTwV6QiFfz2g=,Plucked pineapple bush,摘光的菠萝丛
T-wvNNtKOOkKjshMJ2gomQzeEWJn8=,Kiwi Juice,奇异果汁
T-XEZ+yM3F8gNO9bPD+sigp114Sgc=,Ice food,冰食
T-xFWM1OWZsGvlgm2MsQ3KebWctUw=,Kiwi Tree,奇异果树
T-Xyw3M5bYcqDKvfuLH1CvPw61hq0=,Watermelon Vine,西瓜藤
T-xzfovlJnzEx5y/THRyvkW5Aijcs=,Growing dragon fruit,种植火龙果
T-y+2JMnWAnYXUgSfHkNCsPm8egWs=,An ice watermelon!,一个冰西瓜！
T-yKwxcxMzOZgpAzW8naflsxiH1Z4=,A watermelon!,一个西瓜！
T-ZsHq8s7wksWZt0kJw0h80iDyLBY=,Eating cold food can make you feel cooler,食用冰冷的食物能够使你感到凉爽
T-ZVjrlbXH1a6wLcvC6FIp/itjIUQ=,Kiwi fruit,奇异果
T-zwYY57WnqXa9wyqlfhO4vaIPp3M=,An onion!,一个洋葱！
 Guil-更多水果_榨汁,Juice Extraction,榨汁
 
